,Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,Rec,Tgt,ReceivingYds,ReceivingTD,RushingAtt,RushingYds,RushingTD,FantasyPoints
0,A.J. Brown,WR,TEN,0,0,0,0,0,8,13,114,1,0,0,0,25.4
1,Aaron Jones,RB,GNB,0,0,0,0,0,0,0,0,0,13,51,2,17.1
2,Aaron Rodgers,QB,GNB,203,1,0,33,16,0,0,0,0,3,23,0,14.419999999999998
3,Adam Thielen,WR,MIN,0,0,0,0,0,3,3,27,0,0,0,0,5.7
4,Adrian Peterson,RB,WAS,0,0,0,0,0,0,0,0,0,16,66,1,12.6
5,Albert Wilson,WR,MIA,0,0,0,0,0,5,8,59,0,0,0,0,10.9
6,Alex Tanney,QB,NYG,1,0,0,1,1,0,0,0,0,0,0,0,0.04
7,Allen Robinson,WR,CHI,0,0,0,0,0,7,14,125,0,0,0,0,19.5
8,Alvin Kamara,RB,NOR,0,0,0,0,0,0,0,0,0,14,66,0,6.6
9,Ameer Abdullah,RB,MIN,0,0,0,0,0,0,0,0,0,5,25,0,2.5
10,Andy Dalton,QB,CIN,151,1,4,31,17,0,0,0,0,0,0,0,2.039999999999999
11,Anthony Miller,WR,CHI,0,0,0,0,0,9,15,118,1,0,0,0,26.8
12,Austin Ekeler,RB,LAC,0,0,0,0,0,5,7,62,0,7,19,0,13.1
13,Baker Mayfield,QB,CLE,247,2,1,43,30,0,0,0,0,2,11,0,16.980000000000004
14,Blake Bell,TE,KAN,0,0,0,0,0,2,2,41,0,0,0,0,6.1
15,Blake Jarwin,TE,DAL,0,0,0,0,0,2,3,40,0,0,0,0,6.0
16,Boston Scott,RB,PHI,0,0,0,0,0,7,7,39,0,6,26,0,13.5
17,Brandin Cooks,WR,LAR,0,0,0,0,0,4,8,46,0,0,0,0,8.6
18,Breshad Perriman,WR,TAM,0,0,0,0,0,5,6,113,3,0,0,0,34.3
19,Brett Kern,P,TEN,0,0,0,1,0,0,0,0,0,0,0,0,0.0
20,Brian Hill,RB,ATL,0,0,0,0,0,0,0,0,0,1,16,0,1.6
21,C.J. Prosise,RB,SEA,0,0,0,0,0,0,0,0,0,5,15,0,1.5
22,Cameron Brate,TE,TAM,0,0,0,0,0,3,7,33,0,0,0,0,6.3
23,Carlos Hyde,RB,HOU,0,0,0,0,0,0,0,0,0,26,104,1,16.4
24,Carson Wentz,QB,PHI,266,3,0,43,30,0,0,0,0,3,9,0,23.54
25,Chris Carson,RB,SEA,0,0,0,0,0,0,0,0,0,24,133,2,25.3
26,Chris Conley,WR,JAX,0,0,0,0,0,4,8,49,2,0,0,0,20.9
27,Chris Godwin,WR,TAM,0,0,0,0,0,5,8,121,0,0,0,0,17.1
28,Chris Lacy,WR,DET,0,0,0,0,0,1,2,48,0,0,0,0,5.8
29,Christian Kirk,WR,ARI,0,0,0,0,0,4,5,33,0,1,28,0,10.1
30,Christian McCaffrey,RB,CAR,0,0,0,1,0,8,10,88,0,19,87,2,37.5
31,Clive Walford,TE,MIA,0,0,0,0,0,2,4,34,0,0,0,0,5.4
32,Cooper Kupp,WR,LAR,0,0,0,0,0,6,6,41,1,0,0,0,16.1
33,Corey Davis,WR,TEN,0,0,0,0,0,3,6,57,0,0,0,0,8.7
34,Courtland Sutton,WR,DEN,0,0,0,0,0,4,10,79,0,0,0,0,11.9
35,Curtis Samuel,WR,CAR,0,0,0,0,0,5,7,31,1,4,23,0,16.4
36,D.J. Moore,WR,CAR,0,0,0,0,0,8,12,113,0,1,10,0,20.3
37,D.K. Metcalf,WR,SEA,0,0,0,0,0,2,4,36,1,0,0,0,11.6
